frame,right_elbow,left_elbow,right_knee,left_knee,right_shoulder,left_shoulder
4,161.64523606388295,181,179.7222844001901,181,37.85565871840444,181
8,152.98053743376752,181,179.33901286419007,130.25019862686153,31.185923640273156,181
12,116.85656152895797,181,172.53899867857558,159.59456642696372,36.949894506104286,181
16,97.90432646278849,181,181,181,45.59472250180604,181
20,98.92681027756412,181,181,166.36594453768154,47.97921068508152,181
24,115.20087116825769,181,179.1054814740099,152.1800562327613,41.315087939739676,181
28,181,59.20094567431212,181,143.4638414534525,181,60.48803406756912
32,181,53.421478553467644,181,156.3609493794195,181,39.39768895464762
36,181,63.76717621621452,181,147.5931360078569,181,20.61832563034716
40,181,117.01975310717677,181,154.74278104157418,181,2.1461488956035906
44,181,181,181,151.37264249739584,181,181
48,181,181,170.5447113856923,158.17015991665195,181,181
52,181,181,181,181,181,181
56,181,181,181,181,181,181
60,105.43749873267184,181,181,181,153.6082961118278,181
64,149.84687953569133,181,177.2088933278116,176.8380786801445,175.7071670353464,181
68,118.28013935234725,181,173.47590427325719,179.56428520275307,173.62403635024512,181
72,85.95639060467651,181,172.32315786679447,181,145.17198542301688,181
76,49.84032820743594,181,122.3981622478388,181,116.14488493681999,181
80,181,181,130.26659443665346,181,181,181
84,128.84473367488363,181,145.06656195023336,181,20.50513370540238,181
88,170.03528358280792,181,131.90376348428592,181,1.2506268972832661,181
92,149.65093338684815,181,156.88155382871332,181,48.044847479341094,181
96,157.85133091474523,154.4042040961862,173.32769849079708,133.18975259455055,58.669925958023576,28.073756980636112
100,161.3807911433579,163.8778189290877,178.0195099410446,141.345417964117,50.71652779270979,39.87819556528227
104,168.5962671530269,166.63967862102157,179.17245595528414,170.25548783141244,35.95888104231621,38.1187294767562
108,172.2054206495017,160.34089665385585,176.16521956426303,174.11747667050355,20.759957643681386,25.073064139773066
112,171.21331613851024,178.86919784967165,177.91467326864287,181,16.446006130369764,19.948978133267325
116,179.6157863530508,141.9564385609928,167.25943760082083,170.03562431005085,20.847233214654775,28.569223189689584
120,151.62907180568212,131.29848523553747,160.03852218549866,167.77247180410333,27.52620321864247,26.99215037034595
124,129.46648308548933,100.1525280007406,151.93204497933016,145.15982328719758,34.77891295110252,38.07014294677068
128,127.73552932894737,87.66937673923613,158.49651133769837,147.46131477256998,39.065707633193256,47.29809457755408
132,129.33680662886002,93.01479062190765,149.86000825693955,176.215737667066,38.55841940447793,43.744393657652424
136,123.85205763821234,86.98635012198375,147.42171949073872,178.45379800795075,35.97790337226831,45.43510718532396
140,116.64533179317931,80.3500762093328,161.38196358002003,176.13520774351454,34.30534569953832,55.56683338138495
144,108.00535358987517,92.3190482635743,170.08832947014514,149.84140902580307,43.05675832911524,51.86419684494392
148,106.25270067267013,113.90003816181726,161.16887250153198,158.5410629966652,41.69905295976425,42.60224452737219
152,93.91962328887773,105.1192925027341,151.170304743921,162.4940072268881,45.1731126941231,44.29193449526973
156,93.83513337697192,102.06116399696357,157.29895307505214,168.20289220629144,47.56706449431904,48.49316832067449
160,98.26764834542784,102.28138926117401,178.23371249786584,162.91556611811347,43.459622010962065,48.934227844654295
164,116.23919817915625,113.96104358194107,177.9223262217577,163.76135243800215,41.846969103774384,40.90606925104646
168,122.54655613302099,92.42008455938031,170.0192328835472,169.36828467424394,51.96483576783665,55.02887334961058
172,131.56316010062932,81.78273504713931,151.89358822078233,172.72989720533565,50.30852417280397,65.66947781482921
176,151.83708541635872,73.8790194292082,148.85693528611552,170.28758103541782,36.20233260703208,67.18596370937405
180,181,181,181,181,181,181
184,171.27797193099428,181,159.90864048650255,178.87687801082097,23.04084765761789,72.53029442696365
188,138.3462376832732,49.192740061449875,138.1953815960934,166.22253691592837,36.107708539152576,73.04253073385962
192,145.77339976632354,181,146.80908891318742,172.2614453352793,38.72023571847543,71.79682553869404
196,127.77581377804853,181,181,181,48.328680867731926,73.35458184890197
200,88.40858770567188,181,165.40234460851977,169.7297558508683,66.34556459462685,70.25530043352084
204,76.68524258071517,181,153.42695379818295,168.750583006783,68.04923484961387,73.19504798148162
208,74.62812196872278,57.408336759567604,135.77240198383257,173.67375779976504,70.79509315697861,74.83861399875197
212,84.38226009280062,70.80736933512081,170.60743059021735,171.91082096131274,66.67177040739907,71.69808956039853
216,101.09290067339903,165.1265395423611,178.03676856698397,173.93518348059533,54.28548378808471,38.95656082168607
220,121.4152180412952,121.09356901111295,175.01772132689885,171.13439275576286,31.211996735857632,2.7641389395162688
224,138.89074459247564,148.14266915302744,150.1454460489627,167.76045794850452,9.02830791263143,19.469841291471976
228,149.90758450813635,151.97624610949205,143.32706894867377,158.85723365843234,1.7074099642564022,27.853163180409474
232,151.94772035017698,181,152.7651289137534,181,2.8159282703160513,181
236,160.27659671323602,181,171.64174872177907,181,7.332894838952517,181
240,149.20226813127098,181,157.86096060761585,181,6.13277833913465,181
244,148.46037828418122,181,146.3014748661582,181,5.6885775346906895,181
