frame,right_elbow,left_elbow,right_knee,left_knee,right_shoulder,left_shoulder
4,176.6227684945662,181,181,181,7.763416603196669,181
8,181,181,181,181,55.60907236196829,181
12,181,181,181,181,181,181
16,163.34171071341672,181,181,181,13.453083083220008,181
20,181,181,181,181,181,181
24,127.10924891127316,172.4257191348751,181,181,6.935250748786793,5.418205122443152
28,145.2652963099237,174.43869791899772,181,181,14.16003929201651,18.76320512101115
32,174.94431412258524,166.48402701918286,181,181,28.05878546452864,18.34015399998372
36,176.0155603728328,161.34554341137303,181,181,25.924435781679588,25.8337220745703
40,176.78845669224128,154.43514473412438,181,181,26.216482425217993,29.637959026834316
44,178.64862237469612,166.2213797317204,181,181,28.23047934641377,37.23722028895484
48,174.82824898441092,176.3928535645283,181,177.37050335736163,25.073184449218523,30.348600639971735
52,178.72388301056876,181,164.29830212280933,178.70706818419043,27.5130776538605,181
56,171.86195938111,174.92546049680217,181,177.25334453104534,29.941730432134772,21.949284322718473
60,134.15635743001772,173.57656194637727,171.97377858619618,175.16010284635743,29.599405237957345,37.37603476701937
64,93.74558662513085,170.69339627374842,171.80075966498674,177.33357214418635,32.94473708168909,35.44710804944312
68,122.09332961592965,158.04517829596776,181,181,23.460902342145587,19.955847658409507
72,142.77422998450004,181,175.16879660227767,170.00707972193436,14.515577152530142,16.101329020076406
76,142.99312142342296,181,169.3415681341824,159.5054569068094,16.87463477362488,181
80,132.57902168164117,181,172.1225857523107,181,24.748557506369814,181
84,136.12448930483978,181,181,181,22.244663780486228,181
88,150.9578255776362,181,174.03011265722697,181,16.067710621026652,181
92,170.70054690027231,181,172.33861868119186,181,14.431673808595068,181
96,175.86381427079138,177.2175272666765,167.1902274416269,181,17.548895081979378,27.45759139798578
100,172.11222042506844,168.99302372182837,165.07043955134372,181,21.993181912391538,28.614673917805412
104,159.37108842282836,165.2871133712539,162.11647014921678,172.77910950421784,20.8507732567936,29.325772403126543
108,155.25927018828227,175.48481053107966,156.70713428485556,174.02869807283926,16.53974914940096,26.355989269718496
112,179.70870081268217,164.90513467710485,181,181,20.73295761931517,24.637602710196393
116,175.6839563674194,178.68126958562232,181,181,17.797167191191086,19.729189318319428
120,161.08437401306804,127.48035643052731,181,181,23.294166948589144,37.519049707259086
