frame,right_elbow,right_elbow_avg,left_elbow,left_elbow_avg,right_knee,right_knee_avg,left_knee,left_knee_avg,right_shoulder,right_shoulder_avg,left_shoulder,left_shoulder_avg
4,162.64324863313445,162.64324863313445,181,0,179.75034303526414,179.75034303526414,181,0,37.36061159700962,37.36061159700962,181,0
8,152.83562345277977,157.7394360429571,181,0,179.44228221263617,179.59631262395015,129.51229004468675,129.51229004468675,30.774164825611276,34.06738821131045,181,0
12,118.5247261793546,138.13208111115586,181,0,173.66687278092215,176.63159270243614,159.95395036879827,144.7331202067425,36.254456081938166,35.16092214662431,181,0
16,98.41869275409968,118.27538693262777,181,0,181,176.63159270243614,175.74519908145072,160.23915964409662,45.621711471243636,40.39131680893397,181,0
20,97.13984260997536,107.70761477130156,181,0,181,176.63159270243614,166.46509363389757,163.3521266389971,48.03695700049491,44.21413690471444,181,0
24,113.52941274517727,110.61851375823942,181,0,178.4208333924496,177.52621304744287,152.03998958763057,157.69605811331382,42.42722100694488,43.32067895582966,181,0
28,181,110.61851375823942,59.820476143107776,59.820476143107776,181,177.52621304744287,143.06106591687075,150.37856201509229,181,43.32067895582966,60.43750041796937,60.43750041796937
32,181,110.61851375823942,55.333716207228676,57.57709617516822,181,177.52621304744287,156.4993791236736,153.43897056938295,181,43.32067895582966,39.64452041426149,50.04101041611543
36,181,110.61851375823942,61.90653536408445,59.741815769626335,181,177.52621304744287,147.10042093937886,150.2696957543809,181,43.32067895582966,22.214380562070215,36.12769548909282
40,181,110.61851375823942,119.54397511368637,89.64289544165635,181,177.52621304744287,154.2124840281831,152.241089891282,181,43.32067895582966,2.5677296385213526,19.347712563807086
44,181,110.61851375823942,181,89.64289544165635,181,177.52621304744287,181,152.241089891282,181,43.32067895582966,181,19.347712563807086
48,181,110.61851375823942,181,89.64289544165635,170.8406142299168,174.18341363867984,156.82068731877706,154.53088860502953,181,43.32067895582966,181,19.347712563807086
52,181,110.61851375823942,181,89.64289544165635,181,174.18341363867984,181,154.53088860502953,181,43.32067895582966,181,19.347712563807086
56,181,110.61851375823942,181,89.64289544165635,181,174.18341363867984,181,154.53088860502953,181,43.32067895582966,181,19.347712563807086
60,101.50621600156022,106.06236487989982,181,89.64289544165635,181,174.18341363867984,181,154.53088860502953,152.1757790657491,97.74822901078939,181,19.347712563807086
64,149.27946048638393,127.67091268314186,181,89.64289544165635,179.5770335474682,176.88022359307402,181,154.53088860502953,177.1264098227244,137.4373194167569,181,19.347712563807086
68,117.02960835506371,122.35026051910279,155.0101424769514,122.32651895930387,174.90705789702744,175.89364074505073,178.15744914742078,166.34416887622515,171.4515033275967,154.4444113721768,174.35118076320495,96.84944666350601
72,86.23581905947424,104.29303978928851,181,122.32651895930387,170.70676665992596,173.30020370248835,181,166.34416887622515,142.851373725599,148.6478925488879,181,96.84944666350601
76,50.290900802775845,77.29197029603218,181,122.32651895930387,122.70371292737983,148.0019583149341,181,166.34416887622515,116.617944674671,132.63291861177944,181,96.84944666350601
80,181,77.29197029603218,181,122.32651895930387,131.44459499251155,139.72327665372282,181,166.34416887622515,181,132.63291861177944,181,96.84944666350601
84,128.19987443429193,102.74592236516204,181,122.32651895930387,146.04587842460947,142.88457753916614,181,166.34416887622515,21.421816111307297,77.02736736154337,181,96.84944666350601
88,170.65004154767632,136.6979819564192,181,122.32651895930387,132.32399892031847,137.6042882297423,181,166.34416887622515,1.5431269141048698,39.28524713782412,181,96.84944666350601
92,147.32670379494525,142.01234287568224,181,122.32651895930387,156.7295511314883,147.1669196806153,181,166.34416887622515,48.37255973234052,43.828903435082324,181,96.84944666350601
96,159.07037373785218,150.54135830676722,152.70567380645707,137.51609638288048,173.3002566558973,160.2335881682563,134.45279030562958,150.39847959092737,58.57771344805939,51.203308441570854,27.015446863344863,61.93244676342544
100,161.72416264278564,156.13276047477643,162.99617461707626,150.25613549997837,177.0886142764689,168.6611012223626,141.92667011513436,146.16257485303086,50.68681967620643,50.94506405888865,39.75403763558737,50.843242199506406
104,168.57524504532748,162.35400276005197,166.27736837553866,158.2667519377585,179.79258059545936,174.22684090891096,169.8148245049311,157.988699678981,35.930761969872904,43.437913014380776,38.43386730618811,44.638554752847256
108,171.96602671347256,167.16001473676226,161.0573299849567,159.6620409613576,175.0707147088691,174.64877780889003,174.4020144320968,166.1953570555389,20.555306338915717,31.996609676648248,25.05995552805085,34.84925514044905
112,171.93745607341506,169.54873540508868,179.37464039128434,169.51834067632097,177.4973647557221,176.07307128230605,181,166.1953570555389,16.51215428598708,24.254381981317664,20.176421200750227,27.51283817059964
116,177.76488668644092,173.6568110457648,142.03851276726877,155.77842672179486,167.07861657278227,171.57584392754416,170.49751012466177,168.34643359010033,21.727079242093087,22.990730611705374,28.20730825016685,27.860073210383245
120,151.81011608319136,162.7334635644781,132.59180981329428,144.18511826754457,158.5695106889719,165.07267730825802,168.6672525948693,168.50684309248481,27.501458709321934,25.246094660513656,26.282372002204173,27.07122260629371
124,129.7190089268146,146.22623624564636,100.71971100542928,122.45241463648692,152.06198055872102,158.56732893348953,144.72285931687676,156.6148512046808,34.73149716906757,29.988795914790614,38.12980064657766,32.60051162643568
128,127.8098907394189,137.01806349253263,87.65363621673109,105.053025426609,157.9014958239276,158.23441237870856,146.91054038907484,151.76269579687784,39.1041107965814,34.54645335568601,46.95065039128754,39.77558100886161
132,129.6471166447521,133.33259006864236,93.55358231103796,99.30330386882348,149.760883295683,153.99764783719576,176.34837818649592,164.0555369916869,38.48111574850855,36.51378455209728,43.4840086077306,41.629794808296104
136,124.1087315616704,128.72066081515638,87.9885290313467,93.64591645008508,147.01403541821344,150.5058416277046,177.385683693062,170.72061034237444,35.29027109303051,35.902027822563895,44.78198316254538,43.20588898542074
140,116.30399083911861,122.51232582713749,81.28250668546266,87.46421156777387,160.77325778307912,155.63954970539186,176.15631936486366,173.43846485361905,34.77088667458022,35.33645724857206,55.077365623703706,49.14162730456222
144,108.25633997213946,115.38433289963848,92.1684992644747,89.81635541612428,170.19386139571208,162.91670555055197,150.78601927437927,162.11224206399916,42.58845693256923,38.962457090570645,51.743103400369584,50.4423653524659
148,106.53371179025362,110.95902234494605,114.10642911484588,101.96139226548507,161.52716470104096,162.22193512579645,158.51039371634053,160.31131789016985,41.362108141855465,40.162282616213055,42.420413687237854,46.43138951985188
152,94.12472833541922,102.54187534018263,104.08014946947728,103.02077086748118,150.5806035687462,156.40126934727132,162.42326527610814,161.36729158313898,44.91271502053615,42.5374988183746,44.469197367067004,45.450293443459444
156,91.96396390440306,97.25291962229284,104.66503683778538,103.84290385263327,156.9960834410615,156.6986763941664,168.42506419330167,164.89617788822034,48.428895752768376,45.48319728557149,47.26945840941111,46.35987592643528
160,98.11724476707685,97.68508219468484,103.4170879946158,103.62999592362453,178.6809386934852,167.6898075438258,162.51019106583854,163.70318447702942,43.75432551731067,44.61876140144108,47.0196126546851,46.689744290560185
164,115.50482764929245,106.59495492198864,114.93695377065343,109.28347484713899,178.52092160910885,173.1053645764673,164.3946726040571,164.04892854054327,42.10514463656218,43.36195301900163,40.399942708469226,43.544843499514705
