frame,right_elbow,left_elbow,right_knee,left_knee,right_shoulder,left_shoulder
4,163.2455631059743,181,179.5023198348742,181,37.43170994443197,181
8,152.7738479172152,181,179.22241759590534,129.7027829520085,30.88632630197063,181
12,123.27239565984158,181,175.68641017467687,158.68029278045867,33.73902947700221,181
16,98.41467050956639,181,181,175.48316281214167,45.467990615424284,181
20,97.69303204020187,181,181,167.36671256212222,46.599859624813256,181
24,112.98828012648649,181,178.69452161312842,153.46925639231293,41.60219595590896,181
28,181,60.065480869062505,181,143.28403100632525,181,59.755649928920214
32,181,54.22015865749416,181,154.33278035897817,181,40.57202808579517
36,181,61.53648044363508,181,147.46216341046863,181,22.06980055289522
40,181,116.44902593058829,181,155.09954493744837,181,1.932909108387287
44,181,181,181,153.39529097456125,181,181
48,181,181,171.5427123925084,154.87231249188608,181,181
52,181,181,181,181,181,181
56,181,181,181,181,181,181
60,101.80095326886769,181,181,181,150.10579275960666,181
64,148.25702167687174,181,179.62558288852503,181,175.48405135249996,181
68,114.53428485204037,181,175.1151139588428,178.26316408182615,169.20652956818424,181
72,87.05164336808956,181,171.70859650133744,181,143.33554710688435,181
76,49.96279318775553,181,122.43953553238481,181,116.38722473928725,181
80,181,181,132.75489739477663,181,181,181
84,124.21101165214203,181,145.67979341834564,181,21.773586024556305,181
88,174.24830307169472,181,130.64368395928628,181,0.19305786909648112,181
92,147.43658289505228,181,156.87290906381918,141.8780265141919,48.05221080385491,181
96,159.1873875443197,154.0954392895146,174.20391289922483,133.94507005945582,58.11285896738839,28.680774671007764
100,161.49572943213644,160.32108656409036,178.31381212815637,140.66054861311193,50.76342889497,38.284102693610755
104,168.50978922772774,168.36991653900904,179.3135579359889,168.83572891877776,35.535594493161526,39.930761797533314
108,173.5572378294562,160.81831645707112,176.76024022389365,173.97469631581725,20.784407975297366,24.658566894129827
112,173.2703525486187,179.6214918620752,178.04181192147132,173.28994218813668,17.968983252150345,19.55564774079778
116,178.86999374642127,141.09657385749034,166.27161932700744,171.73604895286607,21.492701254439908,28.78573432284048
120,149.11486009333987,132.63183588773205,159.7154460013708,168.44954248608337,28.617914008763716,26.47713211728992
124,131.187675131829,100.41775801405575,152.71535571214332,145.95424076254173,34.70014285726,37.768383712051644
128,127.44197847113777,86.27752466924987,159.89059057533976,146.45850193506146,40.122381167615686,47.05254233433516
132,130.57491682897836,92.89677227654079,149.60225589287364,176.62350816688826,38.07024256449637,43.5903145127399
136,123.70715791175694,89.7794032695685,147.59780620961308,179.77662685492274,35.569864112890144,43.659898459214446
140,117.54501551878997,81.68040042765799,160.9593522381119,175.55878249437788,34.43878124618707,54.347803364571334
144,106.77549143042991,91.72657823148032,168.45470808625618,154.1805704196296,43.43093542670029,51.21825246445101
148,107.12201594085343,115.74450424556541,162.11719860412612,159.06790154773566,40.79079655965757,42.06966374986307
152,95.46120082393331,103.88365207850497,150.25082231349444,162.88685041338175,44.84413075630634,45.06161991549871
156,92.48663622925467,104.200389740012,156.51511713793326,168.40078772328064,47.88794469057951,47.51159773498876
160,98.38021520666847,103.36836398140407,179.40694028735624,162.9495320259015,43.74220256649917,47.004979859905774
164,114.53343971881722,115.62863989360284,179.23002773930497,164.3743619804484,42.3139429556482,39.791514846047995
168,122.75526647686308,92.80252529464848,168.46452016565595,170.32756940916292,52.76247905852622,54.46942828482511
172,130.66923365923958,82.52613780440943,152.2606564320872,171.66846515407352,51.55960856383761,66.02393146875869
176,148.24564169629735,74.74215153100336,149.42638995661255,168.5242705727265,37.172220747387115,66.62075233603427
180,181,181,181,181,181,181
184,169.32925644796572,181,181,181,23.026852262896124,72.88469857513253
188,138.84487979449642,181,138.21842863897882,167.59903121910955,35.59549954001117,73.17343107813214
192,145.27326967169364,51.39501743611934,147.65351395747916,170.62090649571508,39.15014993025991,73.78122357524957
196,126.5203449039537,181,181,181,47.070384602763,73.15461362546573
200,84.95859967404638,181,164.27675267580156,170.1988094585198,67.37500370449968,69.70263855734218
204,78.1511477870865,181,153.66959422724125,168.1575743998268,67.74741188308161,73.82399875935617
208,73.8161576714123,58.86873682937625,135.0212695619001,172.82090061315483,70.29876792227802,74.8994011221843
212,85.77064512887577,70.45257107811014,171.15929038034665,173.1441414762583,67.83238559384283,71.74971968398667
216,99.49686187927587,159.35061563508012,178.02256618377828,173.05061574911744,55.34210810240775,41.76405914777518
220,122.48002962145473,121.92709250226831,175.02261764517306,171.8199369187881,30.56813923422498,3.1557559738231706
224,137.36263877637987,150.60316932102648,151.1170330052054,168.88403707019978,9.461146435963599,19.10470076891388
228,152.2530266777644,181,142.41443807548362,158.49974254309552,2.1603886118264755,181
